U:0,U:1,U:2,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,Points:0,Points:1,Points:2,Point ID
0.362644,5.01727e-05,0,5.049,0.0253247,0,0.19425,-5.0508,0,0,0,0,0.00352,0.001,0,176
0.362743,5.06688e-05,0,4.86825,0.0238904,0,0.20025,-4.87171,0,0,0,0,0.00354,0.001,0,177
0.362839,5.11324e-05,0,4.6905,0.0223729,0,0.20475,-4.69601,0,0,0,0,0.00356,0.001,0,178
0.36293,5.1561e-05,0,4.51875,0.0207745,0,0.20925,-4.52376,0,0,0,0,0.00358,0.001,0,179
0.36302,5.1972e-05,0,4.35,0.0191357,0,0.21375,-4.35324,0,0,0,0,0.0036,0.001,0,180
0.363104,5.23264e-05,0,4.19025,0.0173827,0,0.21825,-4.18803,0,0,0,0,0.00362,0.001,0,181
0.363187,5.26607e-05,0,4.0305,0.0155943,0,0.2235,-4.02462,0,0,0,0,0.00364,0.001,0,182
0.363266,5.29549e-05,0,3.87075,0.0137354,0,0.23025,-3.86481,0,0,0,0,0.00366,0.001,0,183
0.363341,5.32066e-05,0,3.711,0.011814,0,0.237,-3.70867,0,0,0,0,0.00368,0.001,0,184
0.363415,5.3437e-05,0,3.55125,0.00986125,0,0.24375,-3.55437,0,0,0,0,0.0037,0.001,0,185
0.250051,1.47e-08,0,3.072,0.000747061,0,0,-3.72792,0,0,0,0,2e-05,0.001,0,1
0.363483,5.3601e-05,0,3.40275,0.00782772,0,0.24825,-3.40568,0,0,0,0,0.00372,0.001,0,186
0.36355,5.3742e-05,0,3.25725,0.00577023,0,0.25425,-3.25889,0,0,0,0,0.00374,0.001,0,187
0.363614,5.38369e-05,0,3.11775,0.0036648,0,0.26325,-3.11587,0,0,0,0,0.00376,0.001,0,188
0.363675,5.38843e-05,0,2.97825,0.00152101,0,0.27225,-2.97669,0,0,0,0,0.00378,0.001,0,189
0.363734,5.39079e-05,0,2.83875,-0.000641975,0,0.28125,-2.83942,0,0,0,0,0.0038,0.001,0,190
0.363788,5.38586e-05,0,2.70375,-0.00284682,0,0.28575,-2.70795,0,0,0,0,0.00382,0.001,0,191
0.363841,5.37846e-05,0,2.5725,-0.00506102,0,0.291,-2.57843,0,0,0,0,0.00384,0.001,0,192
0.363891,5.36612e-05,0,2.44875,-0.00729398,0,0.29775,-2.45279,0,0,0,0,0.00386,0.001,0,193
0.363939,5.3488e-05,0,2.331,-0.009535,0,0.3045,-2.33106,0,0,0,0,0.00388,0.001,0,194
0.363985,5.32898e-05,0,2.21625,-0.01178,0,0.31125,-2.21128,0,0,0,0,0.0039,0.001,0,195
0.364027,5.30168e-05,0,2.1015,-0.0140204,0,0.318,-2.09735,0,0,0,0,0.00392,0.001,0,196
0.364069,5.27189e-05,0,1.9875,-0.0162541,0,0.324,-1.98537,0,0,0,0,0.00394,0.001,0,197
0.364107,5.23714e-05,0,1.875,-0.0184744,0,0.3285,-1.87728,0,0,0,0,0.00396,0.001,0,198
0.364143,5.19749e-05,0,1.7685,-0.0206709,0,0.3345,-1.77306,0,0,0,0,0.00398,0.001,0,199
0.25,0,0,0.66,0.000750065,0,0,-2.32306,0,0,0,0,0,0.001,0,0
0.364178,5.15538e-05,0,1.665,-0.0228556,0,0.34125,-1.67078,0,0,0,0,0.004,0.001,0,200
0.36421,5.10606e-05,0,1.5705,-0.0249876,0,0.348,-1.57425,0,0,0,0,0.00402,0.001,0,201
0.364241,5.05441e-05,0,1.47825,-0.0270971,0,0.35475,-1.47961,0,0,0,0,0.00404,0.001,0,202
0.364269,4.99809e-05,0,1.3905,-0.0291615,0,0.3615,-1.38877,0,0,0,0,0.00406,0.001,0,203
0.364296,4.93727e-05,0,1.30575,-0.0311715,0,0.36825,-1.30165,0,0,0,0,0.00408,0.001,0,204
